StationUID,StationID,AuthorityID,BikesCapacity,ServiceType,SrcUpdateTime,UpdateTime,sna,StationName_En,longitude,latitude,GeoHash,StationAddress_Zh_tw,StationAddress_En
TPE500101173,500101173,TPE,24,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_敦化南路二段103巷口,"YouBike2.0_Ln. 103,Sec. 2,Dunhua S. Rd.",121.54904,25.0287,wsqqmum69,敦化南路二段99號前,"No. 99, Sec. 2, Dunhua S. Rd."
TPE500101174,500101174,TPE,41,2,2025-05-27T10:47:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_復興南路二段128巷口,"YouBike2.0_Ln. 128, Sec. 2, Fuxing S. Rd.",121.54336,25.02861,wsqqmu34j,復興南路二段142之1號前,"No. 142-1, Sec. 2, Fusing S. Rd."
TPE500101175,500101175,TPE,17,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_和平東建國南路口,YouBike2.0_Heping E. Rd. & Jianguo S. Rd. Intersection,121.5377,25.02575,wsqqmev19,和平東路/建國南路口(北側),Heping E. Rd. & Jianguo S. Rd. Intersection (North)
TPE500101176,500101176,TPE,16,2,2025-05-27T10:42:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_芳蘭山莊,YouBike2.0_Fanglan,121.54788,25.01223,wsqqmck6y,基隆路三段155巷148號,"No. 148, Ln. 155, Sec. 3, Keelung Rd."
TPE500101177,500101177,TPE,15,2,2025-05-27T10:40:03+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_復興南路一段126巷口,"YouBike2.0_Ln. 126, Sec. 1, Fuxing S. Rd.",121.54313,25.04311,wsqqmycn8,復興南路一段126巷1號前,"No. 1, Ln. 126, Sec. 1, Fuxing S. Rd."
TPE500101179,500101179,TPE,28,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運東門站(5號出口),YouBike2.0_MRT Dongmen Sta. (Exit 5),121.52962,25.03363,wsqqmmppm,信義路二段178號前,"No. 178, Sec. 2, Xinyi Rd."
TPE500101180,500101180,TPE,12,2,2025-05-27T10:37:15+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_仁愛路四段48巷口,"YouBike2.0_Ln. 48, Sec. 4, Ren'ai Rd.",121.54693,25.03597,wsqqmvev0,仁愛路四段48巷/東豐街(北側),"Ln. 48, Sec. 4, Ren'ai Rd. & Dongfeng St. Intersection (North)"
TPE500101181,500101181,TPE,99,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_捷運公館站(3號出口),YouBike2.0_MRT Gongguan Sta.(Exit.3),121.53374,25.01551,wsqqm9fjv,捷運公館站(3號出口)西側,MRT Gongguan Sta.(Exit.3)(West)
TPE500101182,500101182,TPE,34,2,2025-05-27T10:46:02+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_臺北科技大學(電機工程系),YouBike2.0_NTUT(EE),121.53653,25.04196,wsqqmwspy,忠孝東路三段100號對側,"No. 100, Sec. 3, Zhongxiao E. Rd. (Opposite)"
TPE500101184,500101184,TPE,15,2,2025-05-27T10:45:15+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_新生南路三段94巷口,"YouBike2.0_Ln. 94, Sec. 3, Xinsheng S. Rd. Intersection",121.53334,25.01744,wsqqmd3ch,新生南路三段94號前,"No. 94, Sec. 3, Xinsheng S. Rd."
TPE500101185,500101185,TPE,24,2,2025-05-27T10:48:04+08:00,2025-05-27T10:48:31+08:00,YouBike2.0_辛亥新生路口西北側,YouBike2.0_Xinhai Rd. & Xinsheng S. Rd. Intersection,121.5341,25.02267,wsqqme4rt,辛亥路一段/新生南路三段(西北側),"Sec. 1, Xinhai Rd. & Sec. 3, Xinsheng S. Rd. Intersection (Northwest)"
